   OBS          S0          Sg
     1       .47610      .25836
     2       .95659      .31681
     3       .38029      .33696
     4      -.14664      .31939
     5      -.41210      .29760
     6       .01730      .27843
     7       .79891      .28442
     8       .50697      .30102
     9       .12974      .32946
    10       .44057      .34313
    11       .25428      .34437
    12       .01184      .31837
    13      -.19960      .28283
    14      -.90616      .23406
    15      -.75567      .19189
    16       .19134      .14620
    17       .78281      .10646
    18      1.28007      .05432
    19       .91361     -.00249
    20       .46985     -.07717
    21       .26666     -.15319
    22       .56924     -.23627
    23      -.25136     -.30754
    24      -.40238     -.37628
    25      -.32281     -.43074
    26      -.91747     -.48671
    27      -.87090     -.53488
    28      -.97336     -.58854
    29     -1.16257     -.63268
    30     -2.00925     -.67512
    31     -1.38013     -.69878
    32     -1.01966     -.71379
    33      -.96165     -.70830
    34      -.74289     -.69769
    35      -.68594     -.67260
    36      -.46652     -.64704
    37      -.33159     -.60761
    38      -.21397     -.56415
    39      -.25003     -.50151
    40      -.02661     -.43126
    41       .26346     -.34252
    42       .32574     -.25140
    43      -.83111     -.14943
    44      -.20638     -.05199
    45       .09807      .05254
    46       .48076      .15232
    47       .29673      .26077
    48       .08636      .36508
    49       .87968      .47551
    50      1.21194      .57576
    51       .83391      .67425
    52       .86078      .75552
    53       .71894      .83101
    54       .34091      .88878
    55       .43086      .94244
    56       .86105      .97982
    57      1.06264     1.01233
    58       .86025     1.02514
    59       .35355     1.02823
    60       .62886     1.00758
    61       .93903      .97590
    62       .57124      .92243
    63       .48342      .86201
    64       .32481      .78392
    65       .20132      .70122
    66       .44416      .60082
    67       .70497      .49441
    68       .64256      .36949
    69       .31429      .24006
    70      -.08370      .09653
    71       .21543     -.04509
    72       .62380     -.19422
    73       .57510     -.33636
    74       .28901     -.48305
    75       .23020     -.62114
    76      -.57111     -.76190
    77      -.63484     -.89034
    78     -1.25891    -1.01533
    79     -1.21540    -1.12035
    80     -1.31054    -1.21446
    81     -2.09228    -1.28300
    82     -1.86062    -1.33768
    83     -1.73913    -1.36599
    84     -1.73740    -1.38041
    85     -1.58678    -1.36782
