,Month,Year,,,,,,,,,,,
5-Feb-71,02,1971,101.339996,,,,,,,,,,
1-Mar-71,03,1971,105.970001,,,,,,,,,,
1-Apr-71,04,1971,112.300003,,,,,,,,,,
3-May-71,05,1971,108.25,,,,,,,,,,
1-Jun-71,06,1971,107.800003,,,,,,,,,,
1-Jul-71,07,1971,105.269997,,,Date,,Open,High,Low,Close,Volume,Adj Close
2-Aug-71,08,1971,108.419998,,,,,,,,,,
1-Sep-71,09,1971,109.029999,,,,,,,,,,
1-Oct-71,10,1971,105.099998,,,,,,,,,,
1-Nov-71,11,1971,103.970001,,,,,,,,,,
1-Dec-71,12,1971,114.120003,,,,,,,,,,
3-Jan-72,01,1972,118.870003,,,,,,,,,,
1-Feb-72,02,1972,125.379997,,,,,,,,,,
1-Mar-72,03,1972,128.139999,,,,,,,,,,
3-Apr-72,04,1972,131.330002,,,,,,,,,,
1-May-72,05,1972,132.529999,,,,,,,,,,
1-Jun-72,06,1972,130.080002,,,,,,,,,,
3-Jul-72,07,1972,127.75,,,,,,,,,,
1-Aug-72,08,1972,129.949997,,,,,,,,,,
1-Sep-72,09,1972,129.610001,,,,,,,,,,
2-Oct-72,10,1972,130.240005,,,,,,,,,,
1-Nov-72,11,1972,132.960007,,,,,,,,,,
1-Dec-72,12,1972,133.729996,,,,,,,,,,
2-Jan-73,01,1973,128.399994,,,,,,,,,,
1-Feb-73,02,1973,120.410004,,,,,,,,,,
1-Mar-73,03,1973,117.459999,,,,,,,,,,
2-Apr-73,04,1973,107.849998,,,,,,,,,,
1-May-73,05,1973,102.639999,,,,,,,,,,
1-Jun-73,06,1973,100.980003,,,,,,,,,,
2-Jul-73,07,1973,108.639999,,,,,,,,,,
1-Aug-73,08,1973,104.870003,,,,,,,,,,
4-Sep-73,09,1973,111.199997,,,,,,,,,,
1-Oct-73,10,1973,110.169998,,,,,,,,,,
1-Nov-73,11,1973,93.510002,,,,,,,,,,
3-Dec-73,12,1973,92.190002,,,,,,,,,,
2-Jan-74,01,1974,94.93,,,,,,,,,,
1-Feb-74,02,1974,94.349998,,,,,,,,,,
1-Mar-74,03,1974,92.269997,,,,,,,,,,
1-Apr-74,04,1974,86.860001,,,,,,,,,,
1-May-74,05,1974,80.199997,,,,,,,,,,
3-Jun-74,06,1974,75.959999,,,,,,,,,,
1-Jul-74,07,1974,69.989998,,,,,,,,,,
1-Aug-74,08,1974,62.369999,,,,,,,,,,
3-Sep-74,09,1974,55.669998,,,,,,,,,,
1-Oct-74,10,1974,65.230003,,,,,,,,,,
1-Nov-74,11,1974,62.950001,,,,,,,,,,
2-Dec-74,12,1974,59.82,,,,,,,,,,
2-Jan-75,01,1975,69.779999,,,,,,,,,,
3-Feb-75,02,1975,73,,,,,,,,,,
3-Mar-75,03,1975,75.660004,,,,,,,,,,
1-Apr-75,04,1975,78.540001,,,,,,,,,,
1-May-75,05,1975,83.099998,,,,,,,,,,
2-Jun-75,06,1975,87.019997,,,,,,,,,,
1-Jul-75,07,1975,83.190002,,,,,,,,,,
1-Aug-75,08,1975,79.010002,,,,,,,,,,
2-Sep-75,09,1975,74.330002,,,,,,,,,,
1-Oct-75,10,1975,76.989998,,,,,,,,,,
3-Nov-75,11,1975,78.800003,,,,,,,,,,
1-Dec-75,12,1975,77.620003,,,,,,,,,,
2-Jan-76,01,1976,87.050003,,,,,,,,,,
2-Feb-76,02,1976,90.260002,,,,,,,,,,
1-Mar-76,03,1976,90.620003,,,,,,,,,,
1-Apr-76,04,1976,90.080002,,,,,,,,,,
3-May-76,05,1976,88.040001,,,,,,,,,,
1-Jun-76,06,1976,90.32,,,,,,,,,,
1-Jul-76,07,1976,91.290001,,,,,,,,,,
2-Aug-76,08,1976,89.699997,,,,,,,,,,
1-Sep-76,09,1976,91.260002,,,,,,,,,,
1-Oct-76,10,1976,90.349998,,,,,,,,,,
1-Nov-76,11,1976,91.120003,,,,,,,,,,
1-Dec-76,12,1976,97.879997,,,,,,,,,,
3-Jan-77,01,1977,95.540001,,,,,,,,,,
1-Feb-77,02,1977,94.57,,,,,,,,,,
1-Mar-77,03,1977,94.129997,,,,,,,,,,
1-Apr-77,04,1977,95.480003,,,,,,,,,,
2-May-77,05,1977,95.589996,,,,,,,,,,
1-Jun-77,06,1977,99.730003,,,,,,,,,,
1-Jul-77,07,1977,100.650002,,,,,,,,,,
1-Aug-77,08,1977,100.099998,,,,,,,,,,
1-Sep-77,09,1977,100.849998,,,,,,,,,,
3-Oct-77,10,1977,97.519997,,,,,,,,,,
1-Nov-77,11,1977,103.150002,,,,,,,,,,
1-Dec-77,12,1977,105.050003,,,,,,,,,,
3-Jan-78,01,1978,100.839996,,,,,,,,,,
